,age,location,family_size,studytime,attendance,english,math,science,social_science,art_culture,total_score,average_score,stu_group
43,16,2,5,6,82,78,71,65,73,78,365,73.0,2
44,17,0,5,7,81,78,82,84,65,76,385,77.0,2
45,15,0,6,8,81,91,82,89,89,95,446,89.2,2
46,17,0,5,6,88,84,75,75,72,81,387,77.4,2
47,19,0,7,6,90,82,92,90,81,80,425,85.0,2
48,18,1,8,5,90,78,80,82,75,72,387,77.4,2
49,18,2,8,5,84,70,65,62,75,78,350,70.0,0
50,16,2,5,9,65,70,60,70,80,80,360,72.0,1
51,19,0,7,7,82,65,70,62,72,86,355,71.0,1
52,18,0,5,9,82,70,66,77,66,77,356,71.2,2
53,19,2,6,8,98,79,85,88,82,78,412,82.4,2
54,18,0,4,7,65,77,92,77,66,77,389,77.8,1
55,18,2,8,5,85,80,82,85,72,75,394,78.8,2
56,16,1,5,10,60,65,70,66,55,77,333,66.6,0
57,19,2,6,4,67,72,68,75,78,73,366,73.2,1
58,17,2,5,10,69,66,71,50,77,76,340,68.0,0
59,17,2,6,9,72,60,70,90,86,80,386,77.2,0
60,19,0,5,8,95,90,92,85,85,92,444,88.8,2
61,18,2,8,6,83,75,82,85,80,78,400,80.0,2
62,19,2,5,5,67,70,62,60,65,75,332,66.4,0
63,17,0,0,5,70,70,70,75,80,78,373,74.6,0
64,18,1,8,6,72,75,80,75,79,72,381,76.2,1
65,17,2,6,4,72,74,70,80,58,62,344,68.8,1
66,16,0,4,5,70,60,65,75,87,88,375,75.0,0
67,17,2,4,6,42,42,45,58,52,88,285,57.0,0
68,17,2,3,5,82,56,52,75,68,67,318,63.6,1
69,16,1,6,6,90,82,95,80,86,75,418,83.6,2
70,17,2,5,4,82,65,80,75,78,71,369,73.8,2
71,18,2,7,3,63,62,70,72,68,78,350,70.0,1
72,17,1,8,5,89,72,71,80,79,72,374,74.8,2
73,15,2,6,9,82,77,92,70,77,85,401,80.2,2
74,16,2,5,7,65,70,80,77,85,86,398,79.6,1
75,15,0,5,7,65,80,77,66,85,75,383,76.6,1
76,16,0,4,6,55,65,60,70,66,78,339,67.8,0
77,18,2,3,7,74,66,48,77,86,77,354,70.8,1
78,16,0,4,8,85,88,77,66,77,77,385,77.0,2
79,16,1,3,9,82,88,99,77,66,88,418,83.6,2
80,18,0,6,3,65,68,62,66,58,85,339,67.8,1
81,17,2,5,4,65,70,65,72,78,80,365,73.0,0
82,17,1,5,6,90,65,80,75,72,69,361,72.2,2
83,16,2,7,3,58,58,52,68,62,79,319,63.8,1
84,17,0,4,6,90,80,85,82,86,87,420,84.0,2
85,15,1,7,5,82,60,80,70,86,80,376,75.2,2
86,16,2,6,8,95,92,95,92,96,98,473,94.6,2
87,18,1,6,8,95,85,82,95,92,95,449,89.8,2
88,16,0,3,8,99,85,92,85,78,78,418,83.6,2
89,16,0,4,5,90,80,71,85,86,86,408,81.6,2
90,17,1,4,6,82,33,70,65,36,61,265,53.0,2
91,17,2,5,3,68,70,60,80,71,50,331,66.2,2
92,16,1,0,2,90,60,45,90,52,71,318,63.6,2
93,17,1,6,4,82,80,85,84,89,58,396,79.2,2
94,15,1,0,9,60,45,80,80,89,92,386,77.2,2
95,17,0,5,5,77,76,85,78,80,85,404,80.8,1
96,18,1,7,5,82,80,85,60,86,65,376,75.2,2
97,15,1,4,4,100,80,85,86,83,89,423,84.6,2
98,15,1,3,4,90,85,85,86,90,84,430,86.0,2
99,17,0,6,5,100,89,86,85,90,95,445,89.0,2
100,15,1,8,6,85,85,90,90,96,89,450,90.0,2
101,17,2,8,6,100,82,95,96,93,98,464,92.8,2
102,16,0,5,6,100,86,83,95,96,96,456,91.2,2
103,15,1,8,5,95,86,85,82,83,86,422,84.4,2
104,16,0,0,3,65,65,60,42,50,36,253,50.6,2
105,16,1,6,6,98,86,82,83,95,96,442,88.4,2
106,16,0,6,5,100,98,86,90,96,89,459,91.8,2
107,17,1,5,8,100,98,95,85,90,90,458,91.6,2
108,18,1,8,5,82,75,85,91,75,80,406,81.2,2
109,17,1,8,6,100,86,80,89,95,95,445,89.0,2
110,15,1,4,5,98,96,95,93,86,95,465,93.0,2
111,17,1,4,6,90,85,95,86,68,72,406,81.2,2
112,16,1,5,4,62,59,78,75,68,75,355,71.0,1
113,17,1,5,8,62,67,70,63,69,62,331,66.2,0
114,17,1,4,6,74,75,83,73,80,72,383,76.6,1
115,17,1,4,2,60,56,70,68,58,75,327,65.4,0
116,19,1,6,6,74,78,71,80,74,72,375,75.0,1
117,16,0,5,6,77,78,71,80,78,72,379,75.8,1
118,15,0,6,6,77,78,71,80,78,72,379,75.8,1
119,15,1,6,6,74,78,71,80,78,72,379,75.8,1
120,16,1,7,6,90,75,80,85,76,80,396,79.2,2
121,16,1,5,5,90,85,85,90,75,85,420,84.0,2
122,18,1,6,6,90,85,90,85,80,75,415,83.0,2
123,16,1,4,5,85,70,80,75,86,75,386,77.2,2
124,16,0,5,7,90,85,93,96,78,85,437,87.4,2
125,17,2,10,4,85,84,89,92,80,85,430,86.0,2
126,17,1,6,2,72,64,48,53,68,72,305,61.0,0
127,16,1,8,5,91,64,70,68,72,75,349,69.8,1
128,17,1,8,5,85,72,82,86,74,78,392,78.4,2
129,15,1,6,3,85,74,84,96,75,84,413,82.6,2
130,17,1,6,4,69,74,71,68,72,49,334,66.8,1
131,18,2,4,2,70,85,64,70,84,89,392,78.4,0
132,15,0,3,6,85,78,96,92,84,86,436,87.2,2
133,15,1,0,4,90,60,90,90,86,71,397,79.4,2
134,17,1,4,6,85,75,85,80,75,86,401,80.2,2
135,15,1,5,6,90,75,85,80,75,86,401,80.2,2
136,17,1,5,4,90,80,85,90,90,86,431,86.2,2
137,16,1,4,4,85,85,90,89,80,75,419,83.8,2
138,15,1,6,5,85,80,90,87,86,75,418,83.6,2
139,16,1,6,6,74,78,71,80,78,72,379,75.8,1
140,16,0,4,5,67,75,96,88,71,78,408,81.6,0
141,16,1,5,7,85,80,74,77,71,86,388,77.6,2
142,17,0,5,4,90,75,80,85,83,90,413,82.6,2
143,18,0,3,5,88,90,69,72,88,86,405,81.0,2
144,17,0,5,6,77,78,71,80,78,72,379,75.8,1
145,15,0,4,6,100,80,71,90,88,95,424,84.8,2
146,17,0,3,5,88,65,77,85,73,72,372,74.4,2
147,16,0,0,6,77,78,68,78,80,66,370,74.0,1
148,17,0,4,5,85,55,77,87,65,78,362,72.4,2
149,17,0,4,6,77,78,80,68,80,78,384,76.8,1
150,17,0,5,5,88,78,71,66,65,85,365,73.0,2
151,16,0,3,5,82,80,78,68,78,80,384,76.8,2
152,16,1,3,5,88,75,80,75,96,72,398,79.6,2
153,18,0,6,6,77,80,78,68,80,66,372,74.4,1
154,16,1,4,5,74,62,71,74,82,80,369,73.8,1
155,16,0,3,6,77,78,68,80,68,80,374,74.8,1
156,17,1,4,6,58,62,68,75,85,92,382,76.4,1
157,17,0,6,6,77,80,68,78,80,66,372,74.4,1
158,16,1,5,6,67,86,82,78,75,77,398,79.6,0
159,17,0,3,6,72,80,68,80,78,80,386,77.2,0
160,15,0,5,6,82,69,74,73,87,92,395,79.0,2
161,17,0,3,6,77,80,78,68,78,66,370,74.0,1
162,18,0,3,6,72,80,68,80,78,80,386,77.2,0
163,15,1,5,5,90,85,77,78,75,62,377,75.4,2
164,15,0,4,5,74,85,72,68,74,96,395,79.0,0
165,17,0,6,6,77,68,80,78,66,80,372,74.4,1
166,15,1,5,5,65,78,85,87,88,96,434,86.8,0
167,17,1,6,4,97,75,80,81,79,80,395,79.0,2
168,16,1,9,6,99,95,85,87,95,86,448,89.6,2
169,15,1,7,5,95,86,82,85,84,86,423,84.6,2
170,16,1,7,5,95,82,71,79,82,81,395,79.0,2
171,16,0,5,6,89,85,95,86,94,83,443,88.6,2
172,16,0,6,5,89,86,82,80,95,89,432,86.4,2
173,17,0,6,5,86,89,82,86,95,96,448,89.6,2
174,18,2,8,7,98,86,95,96,100,98,475,95.0,2
175,17,1,4,6,90,85,90,85,90,95,445,89.0,2
176,15,1,5,3,90,81,80,80,80,80,401,80.2,2
177,17,0,6,5,86,86,83,80,87,91,427,85.4,2
178,16,1,4,4,89,82,84,92,86,90,434,86.8,2
179,17,1,3,6,100,85,86,83,80,89,423,84.6,2
180,17,0,4,6,77,80,82,85,89,90,426,85.2,0
181,17,0,6,6,98,86,82,94,98,89,449,89.8,2
182,15,1,5,4,86,81,71,80,83,84,399,79.8,2
183,16,1,3,5,89,75,75,73,78,86,387,77.4,2
184,18,1,5,4,86,85,80,76,83,92,416,83.2,2
185,16,1,6,6,100,85,86,82,87,89,429,85.8,2
186,16,0,5,8,90,80,80,87,86,86,419,83.8,2
187,17,1,5,9,90,80,81,80,78,80,399,79.8,2
188,17,2,5,5,65,86,70,68,58,62,344,68.8,1
189,16,0,5,9,82,70,80,77,50,80,357,71.4,2
190,17,0,3,5,82,60,77,66,80,80,363,72.6,2
191,15,1,4,6,82,80,92,80,86,86,424,84.8,2
192,17,1,11,2,90,75,95,80,86,86,422,84.4,2
193,18,0,4,8,88,78,80,81,88,90,417,83.4,2
194,15,1,5,3,82,50,70,80,75,80,355,71.0,2
195,15,0,5,6,82,60,75,69,68,80,352,70.4,2
196,17,0,5,2,65,33,33,33,61,61,221,44.2,0
197,15,1,5,3,82,50,70,80,75,80,355,71.0,2
198,17,0,5,5,81,70,78,79,78,80,385,77.0,2
199,16,0,5,6,82,79,75,69,80,80,383,76.6,2
200,15,0,5,3,55,33,33,33,61,61,221,44.2,0
201,16,0,4,8,90,81,89,80,88,90,428,85.6,2
202,16,1,11,6,72,90,70,85,75,90,410,82.0,0
203,16,0,3,6,90,80,92,69,69,86,396,79.2,2
204,17,0,5,5,55,50,61,60,86,86,343,68.6,0
205,18,0,6,6,77,60,69,70,86,71,356,71.2,1
206,17,0,5,5,65,50,60,61,61,86,318,63.6,0
207,15,0,5,6,50,58,60,64,66,80,328,65.6,1
208,17,1,10,1,50,50,60,65,57,45,277,55.4,0
209,16,1,4,8,90,80,80,58,81,85,384,76.8,2
210,17,2,4,16,30,43,54,44,65,77,283,56.6,0
211,17,0,4,8,89,81,82,80,84,85,412,82.4,2
212,17,1,5,2,50,50,60,70,75,80,335,67.0,0
213,17,0,5,6,50,51,49,50,55,71,276,55.2,0
214,17,1,4,2,65,70,71,70,80,80,371,74.2,2
215,18,0,5,6,90,81,92,80,81,89,423,84.6,2
216,17,2,4,2,45,44,44,44,44,44,220,44.0,1
217,15,1,0,2,90,60,45,90,52,71,318,63.6,2
218,17,0,7,3,90,80,90,85,90,90,435,87.0,2
219,16,0,6,4,90,80,95,88,90,80,433,86.6,2
220,17,0,8,2,77,80,95,75,80,85,415,83.0,1
221,16,0,5,2,72,60,80,75,80,79,374,74.8,0
222,16,0,7,4,85,80,71,80,86,71,388,77.6,2
223,17,0,5,5,90,80,90,80,85,86,421,84.2,2
224,16,0,7,5,92,85,95,80,82,85,427,85.4,2
225,16,1,6,6,90,78,80,90,69,71,388,77.6,2
226,15,1,3,7,88,85,80,92,75,71,403,80.6,2
227,15,1,6,5,85,68,85,81,86,55,375,75.0,2
228,16,1,5,8,95,85,90,96,80,65,416,83.2,2
229,19,1,6,3,85,86,71,82,76,72,387,77.4,2
230,19,1,5,3,89,86,82,80,95,93,436,87.2,2
231,19,1,3,5,82,96,94,93,93,96,472,94.4,2
232,17,1,4,5,100,89,92,96,100,100,477,95.4,2
233,16,1,4,3,59,50,48,53,71,62,284,56.8,0
234,17,2,6,5,65,75,70,78,77,86,386,77.2,1
235,19,0,5,8,60,84,92,83,85,92,436,87.2,2
236,18,1,4,7,82,68,70,71,65,67,341,68.2,1
237,18,2,5,8,95,92,89,91,90,85,447,89.4,2
238,17,0,4,5,77,63,67,60,66,71,327,65.4,0
239,18,1,6,5,86,80,83,81,85,78,407,81.4,2
240,18,2,5,5,93,85,92,90,83,80,430,86.0,2
241,16,0,4,4,81,75,70,68,86,65,364,72.8,1
242,17,1,6,4,69,55,48,60,62,65,290,58.0,0
243,18,2,4,8,90,82,85,89,80,84,420,84.0,2
244,17,0,5,7,88,68,70,72,68,69,347,69.4,1
245,17,1,5,6,85,92,91,88,87,90,448,89.6,2
246,17,2,4,6,75,60,63,62,61,58,304,60.8,0
247,18,0,5,5,86,72,71,71,74,76,364,72.8,1
248,17,2,4,4,82,89,92,91,87,88,447,89.4,2
249,19,0,6,4,91,80,78,75,74,73,380,76.0,1
250,18,2,5,5,73,67,65,62,64,62,320,64.0,0
251,16,0,4,5,84,85,89,87,82,80,423,84.6,2
252,19,2,6,4,89,76,75,80,78,75,384,76.8,1
253,19,0,4,5,76,58,60,59,57,66,300,60.0,0
254,18,2,5,3,90,83,85,87,80,92,427,85.4,2
255,19,1,5,5,50,62,64,60,66,65,317,63.4,1
256,18,0,6,4,88,91,90,89,87,86,443,88.6,2
257,16,2,4,4,84,78,71,72,74,86,381,76.2,1
258,19,1,5,6,52,69,67,65,63,64,328,65.6,0
259,19,0,6,6,71,88,85,83,82,80,418,83.6,2
260,16,2,5,2,65,82,85,87,80,83,417,83.4,2
261,16,1,4,3,57,70,71,72,86,72,371,74.2,1
262,19,0,4,5,93,88,84,86,83,85,426,85.2,2
263,16,2,5,5,87,78,71,80,77,79,385,77.0,2
264,16,1,4,4,85,71,70,73,69,72,355,71.0,1
265,19,0,6,4,90,83,86,84,85,92,430,86.0,2
266,18,2,5,6,73,65,70,68,66,86,355,71.0,0
267,17,1,4,6,89,75,70,71,73,86,375,75.0,1
268,17,0,4,2,91,87,89,86,88,84,434,86.8,2
269,17,2,6,3,84,73,70,75,72,86,376,75.2,1
270,17,1,5,5,89,78,71,73,86,71,379,75.8,1
271,15,0,5,8,77,65,68,66,86,69,354,70.8,0
272,15,2,3,5,86,85,84,87,82,80,418,83.6,2
273,16,1,4,7,88,69,70,68,66,86,359,71.8,1
274,18,0,4,8,90,78,71,79,77,75,380,76.0,2
275,19,2,4,6,84,68,70,72,69,86,365,73.0,1
276,19,1,3,6,92,89,85,87,86,84,431,86.2,2
277,18,0,3,5,86,77,72,75,76,78,378,75.6,1
278,10,2,4,6,72,65,68,64,67,72,336,67.2,0
279,18,1,5,7,90,84,86,83,82,80,415,83.0,2
280,16,0,3,4,91,85,92,87,83,92,439,87.8,2
281,15,2,5,5,87,78,71,80,76,78,383,76.6,2
282,18,1,4,6,83,70,70,68,65,71,344,68.8,1
283,18,0,6,6,90,68,70,65,68,66,337,67.4,1
284,19,2,7,5,84,90,92,89,85,84,440,88.0,2
285,19,1,3,7,69,64,67,63,62,71,327,65.4,0
286,16,0,4,6,90,85,82,83,81,80,411,82.2,2
287,19,2,5,8,88,78,82,79,75,76,390,78.0,1
288,18,1,6,6,67,67,68,69,65,62,331,66.2,0
289,16,0,4,5,88,88,85,83,80,92,428,85.6,2
290,17,0,5,4,76,60,48,58,65,66,297,59.4,0
291,15,1,6,3,82,80,75,85,81,92,413,82.6,2
292,18,2,3,2,94,90,89,88,85,86,438,87.6,2
293,17,0,5,3,73,50,48,53,71,62,284,56.8,0
294,18,1,4,2,81,75,70,78,77,86,386,77.2,1
295,17,2,8,4,92,84,92,83,85,92,436,87.2,2
296,15,2,4,5,86,68,70,71,65,67,341,68.2,1
297,16,1,5,6,90,92,89,91,90,85,447,89.4,2
298,17,0,6,5,45,63,67,60,66,71,327,65.4,0
299,15,2,5,4,88,80,83,81,85,78,407,81.4,2
300,16,2,6,8,87,85,92,90,83,80,430,86.0,2
301,17,1,4,6,52,75,70,68,86,65,364,72.8,1
302,18,2,5,5,56,55,48,60,62,65,290,58.0,0
303,18,2,6,2,65,82,85,89,80,84,420,84.0,2
304,19,1,3,2,57,68,70,72,68,69,347,69.4,1
305,16,1,4,1,93,92,91,88,87,90,448,89.6,2
306,19,2,5,6,74,60,63,62,61,58,304,60.8,0
307,18,1,5,6,85,72,71,71,74,76,364,72.8,1
308,16,0,5,2,90,89,92,91,87,88,447,89.4,2
309,17,2,6,3,83,80,78,75,74,73,380,76.0,1
310,15,1,3,5,69,67,65,62,64,62,320,64.0,0
311,17,0,5,8,91,85,89,87,82,80,423,84.6,2
312,18,2,5,7,84,76,75,80,78,75,384,76.8,1
313,15,1,6,8,69,58,60,59,57,66,300,60.0,0
314,18,0,5,5,90,83,85,87,80,92,427,85.4,2
315,15,2,4,5,83,62,64,60,66,65,317,63.4,1
316,18,1,4,5,91,91,90,89,87,86,443,88.6,2
317,16,0,5,4,87,78,71,72,74,86,381,76.2,1
318,16,2,4,4,74,69,67,65,63,64,328,65.6,0
319,17,1,3,6,92,88,85,83,82,80,418,83.6,2
320,16,0,3,6,92,75,85,82,86,86,414,82.8,2
321,18,2,7,3,89,75,74,72,72,80,373,74.6,2
322,18,1,3,6,87,80,82,89,75,54,380,76.0,1
323,19,0,5,7,50,85,82,78,71,55,371,74.2,1
324,18,2,6,8,75,88,95,93,75,58,409,81.8,1
325,17,1,5,5,69,55,62,65,76,54,312,62.4,0
326,16,0,4,5,52,60,60,70,80,66,336,67.2,1
327,18,2,4,6,56,65,70,65,77,87,364,72.8,1
328,18,1,5,4,50,62,52,62,79,80,335,67.0,1
329,17,0,3,2,82,58,48,87,82,75,350,70.0,2
330,19,1,5,3,59,75,74,54,81,74,358,71.6,1
331,19,0,4,2,58,74,80,55,65,76,350,70.0,0
332,17,2,6,4,59,71,56,58,68,72,325,65.0,0
333,18,1,7,5,88,76,69,78,71,81,375,75.0,2
334,15,0,3,6,72,73,70,87,65,54,349,69.8,1
335,16,2,4,5,67,69,70,81,68,66,354,70.8,1
336,18,1,5,4,62,64,45,71,63,71,314,62.8,1
337,17,0,6,8,45,78,80,72,62,62,354,70.8,1
338,15,2,4,6,52,80,82,45,75,65,347,69.4,0
339,15,0,5,5,53,82,71,76,76,72,377,75.4,1
340,15,2,6,2,47,48,68,52,42,74,284,56.8,0
341,17,1,3,2,59,50,50,64,65,75,304,60.8,1
342,18,0,5,1,56,52,67,68,45,72,304,60.8,0
343,18,1,4,6,64,53,52,60,58,71,294,58.8,1
344,18,0,8,6,83,80,78,76,85,65,384,76.8,2
345,19,2,4,2,72,85,84,74,75,72,390,78.0,1
346,18,1,5,3,74,84,73,67,47,69,340,68.0,1
347,16,0,6,5,84,71,78,75,78,84,386,77.2,2
348,18,0,5,8,85,78,80,65,90,92,405,81.0,2
349,19,0,6,7,77,90,92,80,65,75,402,80.4,2
350,16,0,5,8,64,65,70,50,66,86,337,67.4,1
351,19,2,4,4,52,65,65,52,63,71,316,63.2,0
352,15,0,4,4,73,92,82,82,77,71,404,80.8,2
353,16,0,5,6,54,88,70,69,76,62,365,73.0,1
354,17,2,4,6,75,56,65,65,74,72,332,66.4,1
355,16,2,3,2,84,64,82,66,71,65,348,69.6,1
356,15,0,3,3,82,77,90,52,72,76,367,73.4,1
357,17,0,7,5,84,82,77,84,65,72,380,76.0,2
358,15,2,3,8,73,78,64,74,56,45,317,63.4,0
359,15,2,5,7,39,45,48,60,69,52,274,54.8,0
360,18,2,6,8,45,56,48,42,80,84,310,62.0,1
361,18,0,5,5,60,65,50,58,54,78,305,61.0,0
362,19,0,4,5,40,52,48,48,56,76,280,56.0,0
363,16,2,4,5,52,40,65,66,86,73,330,66.0,1
364,19,1,5,4,53,42,62,51,75,72,302,60.4,1
365,16,1,5,4,52,54,65,52,65,92,328,65.6,1
366,18,0,6,6,59,85,82,58,62,49,336,67.2,0
367,18,1,5,6,56,45,74,62,63,50,294,58.8,1
368,19,2,4,3,67,65,72,70,74,52,333,66.6,1
369,19,0,3,6,68,54,48,72,78,64,316,63.2,1
370,19,2,6,7,85,88,92,85,78,80,423,84.6,2
371,16,1,5,8,74,72,65,70,71,55,333,66.6,1
372,19,2,6,5,84,75,78,80,82,72,387,77.4,2
373,16,1,5,5,85,75,85,82,86,86,414,82.8,2
374,16,0,4,6,77,75,74,72,72,80,373,74.6,2
375,15,0,5,4,64,80,82,89,75,54,380,76.0,1
376,18,2,4,1,64,85,82,78,71,55,371,74.2,1
377,18,1,3,6,72,88,95,93,75,58,409,81.8,1
378,18,0,3,6,67,55,62,65,76,54,312,62.4,0
379,19,2,3,2,67,60,60,70,80,66,336,67.2,1
380,19,1,5,3,62,65,70,65,77,87,364,72.8,1
381,15,0,3,5,45,62,52,62,79,80,335,67.0,1
382,17,2,5,8,67,58,48,87,82,75,350,70.0,2
383,15,1,4,7,53,75,74,54,81,74,358,71.6,1
384,16,0,3,8,47,74,80,55,65,76,350,70.0,0
385,16,2,4,4,59,71,56,58,68,72,325,65.0,0
386,17,0,5,4,71,76,69,78,71,81,375,75.0,2
387,18,2,3,6,67,73,70,87,65,54,349,69.8,1
388,19,1,3,6,65,69,70,81,68,66,354,70.8,1
389,17,0,5,2,72,64,45,71,63,71,314,62.8,1
390,18,1,3,3,74,78,80,72,62,62,354,70.8,1
391,19,0,4,5,71,80,82,45,75,65,347,69.4,0
392,15,1,4,8,64,82,71,76,76,72,377,75.4,1
393,18,2,3,7,68,48,68,52,42,74,284,56.8,0
394,15,0,3,8,72,50,50,64,65,75,304,60.8,1
395,15,1,4,2,67,52,67,68,45,72,304,60.8,0
396,18,2,5,3,81,53,52,60,58,71,294,58.8,1
397,19,0,6,2,85,80,78,76,85,65,384,76.8,2
398,17,1,3,4,62,85,84,74,75,72,390,78.0,1
399,16,2,4,5,64,84,73,67,47,69,340,68.0,1
400,19,0,5,6,76,71,78,75,78,84,386,77.2,2
401,16,1,6,5,88,78,80,65,90,92,405,81.0,2
402,18,2,4,4,85,90,92,80,65,75,402,80.4,2
403,18,0,5,8,67,65,70,50,66,86,337,67.4,1
404,19,2,3,6,60,65,65,52,63,71,316,63.2,0
405,18,0,3,5,55,92,82,82,77,71,404,80.8,2
406,19,2,3,2,52,88,70,69,76,62,365,73.0,1
407,16,0,5,2,53,56,65,65,74,72,332,66.4,1
408,18,2,3,1,86,64,82,66,71,65,348,69.6,1
409,15,1,5,5,87,77,90,52,72,76,367,73.4,1
410,18,0,3,5,60,82,77,84,65,72,380,76.0,2
411,19,2,4,4,70,78,64,74,56,45,317,63.4,0
412,16,1,4,4,69,45,48,60,69,52,274,54.8,0
413,18,0,4,6,52,56,48,42,80,84,310,62.0,1
414,19,2,3,6,56,65,50,58,54,78,305,61.0,0
415,16,1,3,3,50,52,48,48,56,76,280,56.0,0
416,16,0,5,6,60,40,65,66,86,73,330,66.0,1
417,18,2,6,7,90,42,62,51,75,72,302,60.4,1
418,16,1,3,2,84,54,65,52,65,92,328,65.6,1
419,18,0,4,3,75,85,82,58,62,49,336,67.2,0
420,19,2,8,2,87,45,74,62,63,50,294,58.8,1
421,17,1,9,4,83,65,72,70,74,52,333,66.6,1
422,18,0,3,5,89,54,48,72,78,64,316,63.2,1
423,19,2,4,6,91,88,92,85,78,80,423,84.6,2
424,17,1,3,5,84,72,65,70,71,55,333,66.6,1
425,18,0,4,4,92,75,78,80,82,72,387,77.4,2
426,18,2,4,4,90,82,85,87,80,83,417,83.4,2
427,18,1,3,4,83,70,71,72,86,72,371,74.2,1
428,18,0,5,6,91,88,84,86,83,85,426,85.2,2
429,16,2,6,6,90,78,71,80,77,79,385,77.0,2
430,19,1,3,2,84,71,70,73,69,72,355,71.0,1
431,18,0,5,3,92,83,86,84,85,92,430,86.0,2
432,18,2,4,5,84,65,70,68,66,86,355,71.0,0
433,16,1,8,6,86,75,70,71,73,86,375,75.0,1
434,19,0,4,6,90,87,89,86,88,84,434,86.8,2
435,19,2,5,5,50,73,70,75,72,86,376,75.2,1
436,19,1,6,6,72,78,71,73,86,71,379,75.8,1
437,18,0,5,7,74,65,68,66,86,69,354,70.8,0
438,18,1,6,4,67,85,84,87,82,80,418,83.6,2
439,17,0,4,5,56,69,70,68,66,86,359,71.8,1
440,18,2,5,6,65,78,71,79,77,75,380,76.0,2
441,18,1,6,6,57,68,70,72,69,86,365,73.0,1
442,16,0,3,5,74,89,85,87,86,84,431,86.2,2
443,16,2,4,7,63,77,72,75,76,78,378,75.6,1
444,19,1,5,6,66,65,68,64,67,72,336,67.2,0
445,16,0,5,4,92,84,86,83,82,80,415,83.0,2
446,16,0,6,5,89,85,92,87,83,92,439,87.8,2
447,16,2,3,6,90,78,71,80,76,78,383,76.6,2
448,15,1,5,6,50,70,70,68,65,71,344,68.8,1
449,18,0,4,5,75,68,70,65,68,66,337,67.4,1
450,15,2,8,7,87,90,92,89,85,84,440,88.0,2
451,15,1,4,6,52,64,67,63,62,71,327,65.4,0
452,18,0,5,8,71,85,82,83,81,80,411,82.2,2
453,17,1,5,8,50,78,82,79,75,76,390,78.0,1
454,19,2,6,6,55,67,68,69,65,62,331,66.2,0
455,15,0,3,5,93,88,85,83,80,92,428,85.6,2
456,16,1,5,2,69,60,48,58,65,66,297,59.4,0
457,18,2,4,2,88,80,75,85,81,92,413,82.6,2
458,15,0,8,1,90,90,89,88,85,86,438,87.6,2
459,15,1,4,5,68,50,48,53,71,62,284,56.8,0
460,18,2,5,5,89,75,70,78,77,86,386,77.2,1
461,16,0,6,6,91,84,92,83,85,92,436,87.2,2
462,17,1,5,6,89,68,70,71,65,67,341,68.2,1
